label_type	pref_label	label
cell	es-cj7	es-cj7 cell
cell	es-cj7	es-wa7 cells
cell	es-i3	es-i3
cell	es-i3	es-i3 cells
cell	es-i3	hes i3
cell	es-i3 cells	es-i3 cells
cell	es-ucsf4  cells	es-ucsf4  cells
cell	es-wa7 cells	es-wa7 cells
cell	ews502	ews502
cell	fibroblast of cardiac tissue	cardiac fibroblast
cell	fibroblast of cardiac tissue	fibroblast of cardiac tissue
cell	fibroblast of dermis	fibroblast of dermis
cell	fibroblast of gingiva	fibroblast of gingiva
cell	fibroblast of lung	fibroblast of lung
cell	fibroblast of mammary gland	fibroblast of mammary gland
cell	fibroblast of peridontal ligament	fibroblast of peridontal ligament
cell	fibroblast of pulmonary artery	fibroblast of pulmonary artery
cell	fibroblast of the aortic adventitia	fibroblast of the aortic adventitia
cell	fibroblast of the conjunctiva	fibroblast of the conjunctiva
cell	fibroblast of villous mesenchyme	fibroblast of villous mesenchyme
cell	foreskin fibroblast	bj fibroblast
cell	foreskin fibroblast	foreskin fibroblast
cell	foreskin fibroblast primary cells skin01	foreskin fibroblast primary cells skin01
cell	foreskin fibroblast primary cells skin02	foreskin fibroblast primary cells skin02
cell	foreskin keratinocyte primary cells skin02	foreskin keratinocyte primary cells skin02
cell	foreskin keratinocyte primary cells skin03	foreskin keratinocyte primary cells skin03
cell	foreskin melanocyte primary cells skin01	foreskin melanocyte primary cells skin01
cell	foreskin melanocyte primary cells skin03	foreskin melanocyte primary cells skin03
cell	ft246	ft246
cell	ft33	ft33
cell	g401	g401
cell	g401	g-401
cell	g401.6	g401.6
cell	g401.6	mrt_g401.6
cell	ganglion eminence derived primary cultured neurospheres	ganglion eminence derived primary cultured neurospheres
cell	gcb	gcb
cell	gist48	gist48
cell	glc-16	glc-16
cell	glioblastoma h54	glioblastoma h54
cell	glioblastoma h54	h54
cell	glomerular endothelial cell	glomerular endothelial cell
cell	glomerular visceral epithelial cell	epithelial cell of visceral layer of glomerular capsule
cell	glomerular visceral epithelial cell	glomerular podocyte
cell	glomerular visceral epithelial cell	glomerular visceral epithelial cell
cell	glomerular visceral epithelial cell	podocyte
cell	gm01660	gm01660
cell	gm01660 cell	gm01660
cell	gm01660 cell	gm01660 cell
cell	gm03348	gm03348
cell	gm03348 cell	gm03348
cell	gm03348 cell	gm03348 cell
cell	gm04503	gm04503
cell	gm04503 cell	gm04503
cell	gm04503 cell	gm04503 cell
cell	gm04504	gm04504
cell	gm04504 cell	gm04504
cell	gm04504 cell	gm04504 cell
cell	gm06990	gm06990
cell	gm08714	gm08714
cell	gm10248	gm10248
cell	gm10266	gm10266
cell	gm10847	gm10847
cell	gm12801	gm12801
cell	gm12864	gm12864
cell	gm12865	gm12865
cell	gm12866	gm12866
cell	gm12873	gm12873
cell	gm12874	gm12874
cell	gm12875	gm12875
cell	gm12878	gm12878
cell	gm12878	gm12878 lymphoblastoid cells
cell	gm12878 lymphoblastoid cells	gm12878 lymphoblastoid cells
cell	gm12890	gm12890
cell	gm12890 cell	gm12890
cell	gm12890 cell	gm12890 cell
cell	gm12891	gm12891
cell	gm12892	gm12892
cell	gm13976	gm13976
cell	gm13977	gm13977
cell	gm18486	gm18486
cell	gm18486 cell	gm18486
cell	gm18486 cell	gm18486 cell
cell	gm18498	gm18498
cell	gm18498 cell	gm18498
cell	gm18498 cell	gm18498 cell
cell	gm18499	gm18499
cell	gm18499 cell	gm18499
cell	gm18499 cell	gm18499 cell
cell	gm18501	gm18501
cell	gm18501 cell	gm18501
cell	gm18501 cell	gm18501 cell
cell	gm18502	gm18502
cell	gm18502 cell	gm18502
